Program_Code,Quality,Sustainability
AC2910,6.13,6.2
AC3150,6.59,5.81
AC3030,6.33,5.48
AC3000,5.62,5.51
AC3010,5.62,5.51
AC3160,6.6,5.32
AC3170,6.59,5.12
AC3140,5.68,4.7
AC2970,5.78,4.49
AC2980,5.78,4.49
AC3050,5.79,4.29
AC3060,5.79,4.29
AC2850,4.53,4.83
AC3090,4.44,4.69
AC3220,5.24,4.39
AC3210,4.8,4.29
AC3070,4.89,4.3
AC3080,4.89,4.3
AC3200,4.55,3.99
AC3110,5.01,3.83
AC2990,5.16,3.7
AC2830,4.28,3.99
AC3120,3.2,3.68
AC3190,2.59,3.98
AC3020,1.86,2
